Iteration 22: Best Performance: 1.3411636468716757, Best Sequence: [False, True, True, True, True, True, True, True, True, np.True_, np.True_, np.False_, False, False, True, True, np.False_, True, np.False_, True, np.True_, np.True_, np.True_, True, np.False_, np.True_, False, True, True, np.True_, np.False_, np.True_, False, np.True_, np.True_, np.False_, True, False, np.False_, False, True, True, np.False_, False, np.True_, np.True_, True, True, False, np.True_, False, np.True_, True, False, True, False, True, False, True, np.True_, np.True_, True, False, False, True, np.True_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, False, np.True_, True, True, True, True, True, np.False_, True, True, True, False, True, np.False_, False, np.True_, False, True]
Iteration 0: Best Performance: 0.9997757991376154, Best Sequence: [True, False, False, np.False_, False, True, False, True, True, np.False_, np.True_, np.False_, np.False_, True, True, False, np.False_, False, np.False_, np.True_, np.False_, np.False_, np.False_, False, np.True_, np.True_, True, False, True, np.False_, np.False_, np.False_, np.True_, np.True_, np.False_, np.False_, True, True, np.True_, False, False, np.True_, np.False_, True, np.False_, np.True_, True, False, True, np.False_, np.False_, np.True_, True, True, False, True, False, True, True, np.False_, np.False_, True, False, True, False, np.False_, False, np.False_, np.True_, np.False_, np.True_, np.False_, True, False, np.True_, False, True, np.True_, np.True_, False, np.False_, True, False, False, False, False, np.False_, False, np.False_, False, True]
Iteration 13: Best Performance: 1.0108843988114136, Best Sequence: [False, True, False, np.False_, False, False, False, False, True, False, np.False_, np.True_, np.False_, True, True, False, np.False_, True, np.False_, np.True_, np.True_, np.True_, np.False_, False, np.True_, False, True, True, True, np.False_, np.False_, np.False_, np.True_, np.True_, np.True_, False, True, True, False, True, False, True, np.False_, False, np.False_, np.False_, False, True, False, np.True_, np.False_, np.False_, True, False, True, True, True, False, False, False, np.False_, True, False, False, False, np.False_, False, np.True_, np.False_, np.False_, np.False_, np.False_, False, False, np.False_, True, True, True, True, False, np.False_, False, False, False, False, True, np.False_, False, np.False_, True, True]
Iteration 14: Best Performance: 1.0160843836926363, Best Sequence: [False, True, True, np.False_, True, True, True, False, True, True, np.False_, np.True_, np.False_, True, False, True, np.False_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, np.False_, False, False, False, True, np.False_, np.True_, np.False_, np.False_, np.False_, np.True_, False, False, True, True, True, True, False, np.False_, False, np.False_, np.True_, True, True, True, np.False_, np.False_, np.False_, True, False, False, True, False, True, True, False, np.False_, True, True, False, True, np.True_, True, np.False_, np.False_, np.False_, np.True_, np.False_, True, True, np.False_, False, True, True, True, False, np.True_, True, True, False, True, True, np.True_, True, np.True_, True, True]
Iteration 15: Best Performance: 1.0333502093257394, Best Sequence: [False, True, False, np.True_, False, True, False, True, True, False, np.False_, np.True_, np.True_, False, False, False, np.True_, True, np.False_, np.False_, np.True_, np.True_, np.False_, False, np.False_, False, True, True, True, np.False_, np.True_, np.False_, np.True_, np.False_, np.False_, False, True, True, False, True, True, True, np.False_, False, np.False_, np.True_, True, True, True, np.False_, np.False_, np.False_, True, False, False, False, False, True, True, False, np.False_, True, True, True, True, np.False_, True, np.False_, np.False_, np.False_, np.True_, np.True_, True, True, np.False_, True, True, True, True, False, np.False_, True, True, False, False, False, np.False_, True, np.True_, True, True]
Iteration 35: Best Performance: 1.0371580553641029, Best Sequence: [True, False, True, np.False_, False, True, True, True, True, False, np.False_, np.True_, np.True_, False, False, False, np.True_, False, False, np.False_, np.False_, np.False_, True, False, np.True_, False, True, False, True, np.True_, np.False_, False, np.True_, np.False_, False, False, True, True, False, True, False, True, False, False, False, np.True_, False, False, True, False, np.False_, True, True, False, True, False, False, True, True, False, True, True, True, True, True, False, False, False, np.True_, np.True_, np.True_, np.False_, False, False, False, True, True, True, True, False, np.False_, True, True, True, True, True, False, True, np.False_, False, True]
Iteration 57: Best Performance: 1.0683873111007642, Best Sequence: [True, False, True, np.True_, True, False, True, False, False, False, False, np.True_, np.True_, True, False, True, np.False_, False, True, True, False, np.False_, True, False, np.False_, True, True, True, False, np.False_, np.False_, False, np.False_, np.False_, False, False, False, True, False, False, False, False, False, False, False, np.True_, True, False, True, True, False, False, False, True, True, True, False, True, True, False, True, False, True, False, False, False, False, False, np.True_, np.False_, np.False_, False, False, False, True, False, True, False, True, False, np.True_, True, True, False, True, False, False, True, np.False_, False, True]
Iteration 82: Best Performance: 1.0858071567272845, Best Sequence: [True, False, False, np.False_, False, True, True, True, True, False, True, np.True_, np.True_, False, False, False, np.True_, False, False, True, False, np.True_, True, False, np.True_, False, False, True, False, np.False_, np.False_, False, np.True_, np.True_, True, False, True, True, False, True, True, True, True, False, True, np.False_, True, False, True, True, True, False, False, True, False, True, False, True, True, False, False, True, True, False, True, True, False, False, np.False_, np.True_, np.False_, False, False, False, False, False, True, False, True, False, np.True_, False, True, False, False, True, False, True, np.True_, False, True]
Iteration 0: Best Performance: 1.014821837734132, Best Sequence: [False, True, True, np.False_, False, False, False, False, False, np.True_, np.True_, np.False_, np.True_, True, True, True, np.True_, False, np.False_, np.False_, np.False_, np.False_, np.False_, True, np.False_, np.True_, False, True, True, np.True_, np.False_, np.True_, np.True_, np.False_, np.False_, np.True_, False, True, np.True_, False, False, np.True_, np.False_, True, np.True_, np.True_, True, True, True, np.False_, np.True_, np.False_, False, False, False, True, False, True, False, np.True_, np.False_, True, True, True, True, np.True_, True, np.False_, np.False_, np.True_, np.True_, np.False_, True, True, np.False_, True, True, np.True_, np.True_, False, np.False_, False, False, False, True, False, np.False_, False, np.False_, True, False]
Iteration 1: Best Performance: 1.0160724846320848, Best Sequence: [False, False, False, np.True_, True, False, False, True, True, np.True_, np.False_, np.True_, np.True_, False, True, False, np.True_, False, np.False_, np.False_, np.False_, np.False_, np.True_, True, np.False_, np.False_, False, True, False, np.False_, np.False_, np.True_, np.False_, np.False_, np.False_, np.False_, True, True, np.True_, False, True, np.True_, np.False_, False, np.True_, np.False_, True, False, True, np.True_, np.True_, np.False_, False, False, True, False, False, True, True, np.False_, np.False_, True, True, False, True, np.False_, False, np.True_, np.True_, np.False_, np.False_, np.False_, False, False, np.True_, False, False, np.True_, np.True_, False, np.False_, True, True, False, False, False, np.False_, False, np.False_, False, False]
